Date,Day,Month,Season,Protein,Vegetables,Carbs,Fruits,Drinks
January 1 2023,Sunday,January,Winter,15.618101782710436,12.31993941811405,6.560186404424365,9.986584841970366,24.50714306409916
January 31 2023,Tuesday,January,Winter,10.0,0.0,0.0,0.0,0.0
March 2 2023,Thursday,March,Spring,0.0,0.0,5.0,2.0,0.0
April 1 2023,Saturday,April,Spring,19.053506419560637,10.693613008751655,7.145774605212398,7.806224011019413,6.3705379435250755
May 1 2023,Monday,May,Spring,0.0,0.0,7.0,0.0,0.0
May 31 2023,Wednesday,May,Spring,14.607787680327258,13.642698610480755,12.523158629034922,11.027338166838856,6.444336028840548
June 30 2023,Friday,June,Summer,0.0,2.0,0.0,0.0,0.0
July 30 2023,Sunday,July,Summer,7.99595911766477,18.60632017890734,8.140278875734634,15.57305368890048,3.4757029713508487
August 29 2023,Tuesday,August,Summer,0.0,0.0,0.0,3.0,0.0
September 28 2023,Thursday,September,Fall,0.0,0.0,0.0,7.0,7.0
October 28 2023,Saturday,October,Fall,15.577502938580869,18.187856433570936,11.26254374844191,24.107564737037205,2.008235838765067
November 27 2023,Monday,November,Fall,0.0,5.0,5.0,2.0,0.0
December 27 2023,Wednesday,December,Winter,20.962442123063145,7.345612933348287,7.5530652472843185,13.63346832820399,16.56163844792174
